ID,LATITUDE,LONGITUDE,DATE,CONFIDENCE,TrCovYearL,SurfClass,Polnota,PRCP,TAVG,TMAX,TMIN,MONTH
0,58.093999999999994,47.556999999999995,2003-08-05,46,0.0,150.0,1.0,0.0,78.0,90.0,65.0,08
1,59.873000000000005,47.772,2003-08-14,75,0.0,50.0,4.0,0.11,60.0,68.0,52.0,08
2,59.878,47.795,2003-08-14,66,0.0,150.0,1.0,0.11,60.0,68.0,52.0,08
3,59.147,47.489,2004-04-23,90,4.0,50.0,5.0,0.0,30.0,38.0,25.0,04
4,58.512,47.544,2004-05-06,66,0.0,120.0,1.0,0.0,49.0,61.0,32.0,05
5,58.538999999999994,47.549,2005-04-30,72,0.0,150.0,1.0,0.0,46.0,58.0,35.0,04
6,58.20399999999999,47.771,2005-04-30,72,0.0,50.0,5.0,0.0,46.0,58.0,35.0,04
7,58.53,47.558,2005-04-30,42,0.0,150.0,1.0,0.0,46.0,58.0,35.0,04
8,58.458999999999996,47.652,2005-04-30,47,0.0,150.0,1.0,0.0,46.0,58.0,35.0,04
9,58.556000000000004,47.511,2005-05-09,76,0.0,110.0,1.0,0.0,64.0,75.0,51.0,05
10,58.558,47.528,2005-05-09,34,0.0,150.0,1.0,0.0,64.0,75.0,51.0,05
11,58.111000000000004,47.56100000000001,2005-08-27,63,0.0,150.0,1.0,0.0,58.0,72.0,43.0,08
12,59.871,47.784,2005-10-06,94,0.0,120.0,4.0,0.0,47.0,53.0,44.0,10
13,58.233999999999995,47.69,2005-10-21,66,0.0,50.0,5.0,0.0,33.0,41.0,28.0,10
14,57.833,47.693000000000005,2006-04-30,37,0.0,150.0,1.0,0.0,41.0,53.0,27.0,04
15,57.817,47.652,2006-04-30,83,0.0,50.0,1.0,0.0,41.0,53.0,27.0,04
16,57.813,47.637,2006-04-30,76,0.0,150.0,1.0,0.0,41.0,53.0,27.0,04
17,57.827,47.651,2006-04-30,34,0.0,150.0,1.0,0.0,41.0,53.0,27.0,04
18,57.832,47.659,2006-04-30,26,0.0,150.0,1.0,0.0,41.0,53.0,27.0,04
19,57.825,47.633,2006-05-01,94,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
20,58.263000000000005,47.623999999999995,2006-05-01,80,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
21,57.833,47.646,2006-05-01,71,0.0,150.0,2.0,0.0,45.0,59.0,26.0,05
22,57.85,47.663000000000004,2006-05-01,78,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
23,57.824,47.61,2006-05-01,86,0.0,150.0,5.0,0.0,45.0,59.0,26.0,05
24,57.826,47.63,2006-05-01,88,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
25,57.838,47.647,2006-05-01,77,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
26,58.255,47.626999999999995,2006-05-01,63,0.0,150.0,1.0,0.0,45.0,59.0,26.0,05
27,60.363,47.653999999999996,2006-05-02,81,0.0,100.0,5.0,0.0,47.0,63.0,27.0,05
28,60.358999999999995,47.676,2006-05-02,42,0.0,100.0,4.0,0.0,47.0,63.0,27.0,05
29,57.839,47.638999999999996,2006-05-02,68,0.0,150.0,1.0,0.0,47.0,63.0,27.0,05
30,60.761,47.64,2006-05-03,38,7.0,50.0,5.0,0.0,54.0,65.0,42.0,05
31,59.188,47.795,2006-05-03,63,0.0,150.0,1.0,0.0,50.0,64.0,31.0,05
32,59.199,47.736999999999995,2006-05-03,100,0.0,150.0,1.0,0.0,50.0,64.0,31.0,05
33,59.208,47.733000000000004,2006-05-03,72,0.0,150.0,4.0,0.0,50.0,64.0,31.0,05
34,60.283,47.576,2006-05-03,66,0.0,120.0,5.0,0.0,50.0,64.0,31.0,05
35,60.231,47.802,2007-05-22,50,0.0,110.0,2.0,0.0,68.0,78.0,55.0,05
36,58.106,47.578,2008-05-12,19,0.0,150.0,1.0,0.0,60.0,74.0,42.0,05
37,58.284,47.544,2008-08-23,32,0.0,50.0,1.0,0.05,61.0,69.0,57.0,08
38,58.27,47.745,2009-05-02,45,0.0,150.0,1.0,0.0,42.0,51.0,30.0,05
39,58.417,47.615,2009-05-09,90,0.0,50.0,5.0,0.0,59.0,71.0,44.0,05
40,58.332,47.507,2009-05-10,65,0.0,150.0,1.0,0.0,56.0,69.0,40.0,05
41,58.266999999999996,47.721000000000004,2009-05-10,53,0.0,150.0,1.0,0.0,56.0,69.0,40.0,05
42,58.108000000000004,47.57,2009-07-29,66,0.0,150.0,1.0,0.53,68.0,81.0,64.0,07
43,58.1,47.575,2009-07-29,96,0.0,150.0,1.0,0.53,68.0,81.0,64.0,07
44,58.663000000000004,47.785,2010-04-28,79,0.0,150.0,4.0,0.0,40.0,54.0,27.0,04
45,58.2,47.699,2010-05-08,74,0.0,50.0,5.0,0.0,53.0,64.0,43.0,05
46,58.299,47.6,2010-05-08,89,0.0,150.0,4.0,0.0,53.0,64.0,43.0,05
47,60.763000000000005,47.586000000000006,2010-05-14,59,0.0,150.0,3.0,0.0,71.0,84.0,58.0,05
48,59.873999999999995,47.788999999999994,2010-06-20,50,0.0,150.0,4.0,0.0,60.0,72.0,43.0,06
49,58.832,47.563,2010-07-26,83,9.0,50.0,5.0,0.0,73.0,88.0,62.0,07
50,57.982,47.755,2011-05-06,89,0.0,50.0,2.0,0.0,58.0,67.0,47.0,05
54,58.266999999999996,47.81100000000001,2015-04-29,78,0.0,150.0,1.0,0.0,57.0,76.0,42.0,04
55,59.145,47.668,2016-10-26,68,0.0,50.0,5.0,0.0,57.0,76.0,42.0,10
56,57.052,47.352,2001-04-25,78,0.0,20.0,1.0,0.0,57.0,76.0,42.0,04
57,56.913000000000004,47.327,2001-04-25,73,0.0,20.0,1.0,0.0,58.0,70.0,46.0,04
58,56.917,47.336999999999996,2001-04-25,69,0.0,20.0,1.0,0.0,45.0,63.0,29.0,04
59,57.34,47.297,2003-05-20,37,0.0,14.0,1.0,0.0,45.0,63.0,29.0,05
60,57.33,47.299,2004-05-18,50,0.0,14.0,1.0,0.0,57.0,71.0,42.0,05
61,57.327,47.316,2004-05-18,81,0.0,20.0,1.0,0.0,44.0,55.0,31.0,05
62,58.28,47.273,2005-05-17,65,0.0,150.0,1.0,0.0,43.0,53.0,32.0,05
63,57.019,47.287,2005-09-19,58,0.0,14.0,1.0,0.0,34.0,44.0,27.0,09
64,56.986999999999995,47.277,2005-10-08,48,0.0,20.0,1.0,0.0,34.0,42.0,26.0,10
65,60.583,47.287,2006-04-27,74,0.0,110.0,1.0,0.0,41.0,53.0,27.0,04
66,56.988,47.277,2006-04-28,30,0.0,20.0,1.0,0.0,41.0,53.0,27.0,04
67,57.086000000000006,47.323,2006-04-30,73,0.0,14.0,1.0,0.0,41.0,53.0,27.0,04
68,57.071999999999996,47.326,2006-04-30,35,0.0,20.0,1.0,0.0,41.0,53.0,27.0,04
69,57.06,47.316,2006-04-30,78,0.0,14.0,1.0,0.0,41.0,53.0,27.0,04
70,56.975,47.313,2006-04-30,48,0.0,14.0,1.0,0.0,41.0,53.0,27.0,04
71,56.967,47.343999999999994,2006-04-30,46,0.0,14.0,1.0,0.0,41.0,53.0,27.0,04
72,57.066,47.333999999999996,2006-04-30,76,0.0,14.0,1.0,0.0,41.0,53.0,27.0,04
73,57.063,47.331,2006-04-30,84,0.0,30.0,1.0,0.0,45.0,59.0,26.0,04
74,57.053999999999995,47.28,2006-04-30,55,0.0,50.0,1.0,0.0,45.0,59.0,26.0,04
75,56.832,47.303999999999995,2006-05-01,87,0.0,150.0,1.0,0.0,50.0,64.0,31.0,05
76,56.961999999999996,47.287,2006-05-01,81,0.0,20.0,1.0,0.0,76.0,87.0,62.0,05
77,60.633,47.272,2006-05-03,60,0.0,150.0,5.0,0.0,76.0,87.0,62.0,05
78,60.606,47.281000000000006,2006-07-13,43,0.0,100.0,5.0,0.0,75.0,85.0,64.0,07
79,60.614,47.31100000000001,2006-07-13,79,0.0,150.0,1.0,0.0,78.0,89.0,65.0,07
80,60.617,47.306999999999995,2006-07-14,50,0.0,150.0,1.0,0.09,74.0,87.0,65.0,07
81,60.608000000000004,47.295,2006-07-15,47,0.0,150.0,1.0,0.0,57.0,68.0,47.0,07
82,60.614,47.298,2006-07-16,71,0.0,150.0,1.0,0.0,40.0,54.0,24.0,07
83,60.611000000000004,47.303999999999995,2006-07-24,70,0.0,150.0,2.0,0.0,43.0,54.0,31.0,07
84,56.858000000000004,47.339,2008-05-03,80,0.0,20.0,1.0,0.0,43.0,54.0,31.0,05
85,56.919,47.346000000000004,2009-05-03,72,0.0,50.0,5.0,0.0,54.0,69.0,38.0,05
86,56.915,47.332,2009-05-03,54,0.0,20.0,1.0,0.0,54.0,69.0,38.0,05
87,58.732,47.327,2009-05-05,71,0.0,110.0,1.0,0.0,63.0,75.0,51.0,05
